Energia [kcal],Bia³ko [g],T³uszcz [g],Wêglowodany [g] 
Actimel mleko jogurtowe,88,2,7,1,5,16 
Advokat likier,280,4,4,6,28,4 
Agrest, 60,1,2,0,9,11,8 
Ananas, 33,0,2,0,7,8 
Arbuz,15,0,3,0,1,3,2 
Awokado,160,2,15,7 
Baleron gotowany,246,15,1,20,2,0,9
Banan, 74,0,9,0,3,17 
Baranina ³opatka, 287,15,6,25,0 
Baranina miêso bez koœci,234,18,18,0 
Baranina miêso z koœci¹,238,16,4,26,4,0 
Baranina udziec,234,18,18,0 
Baton Bounty,470,4,2,25,2,56,7
Baton Knoppers,528,8,32,52
Baton Mars,454,3,6,18,2,68,9
Baton Milky Way,447,3,6,16,2,71,8 
Baton Nestle Lion,491,7,4,22,7,64,1 
Baton Snickers,509,9,7,28,9,52,6
Baton Twix,487,5,3,23,2,64,2
Ba¿ant tuszka,108,22,3,1,9,0,5
Benecol margaryna,540,0,60,0 
Bia³ko jaja kurzego,46,10,8,0,0,8 
Bigos,126,5,6,9,8,3,8 
Biszkopty ciastka,400,9,3,7,5,73,8 
Bobo Frut jab³kowy,42,0,1,0,10,5 
Boczek wieprzowy,517,10,1,53,0
Boæwina,35,2,1,0,5,5,5 
Borowik suszony,342,29,10,34
Borowik œwie¿y,36,5,4,0,4,2,7
Bób,88,7,1,0,4,14 
Brando landrynki,390,0,0,96,6 
Brandy,225,0,0,0 
Broku³y,37,3,3,0,2,5,5 
Brukselka,58,4,7,0,5,8,7 
Brzoskwinia,59,1,3,0,7,11,9 
Brzoskwinie konserwa ods¹czone,82,0,5,0,1,19,8 
Budyñ czekoladowy,95,2,8,2,1,16,2
Budyñ waniliowy,91,2,5,2,15,7
Bu³ka grahamka,198,6,5,1,3,40
Bu³ka kajzerka,226,5,8,2,6,44,8
Bu³ka maœlana,212,5,9,4,5,47
Bu³ka tarta,363,10,4,2,1,75,6
Bu³ka wroc³awska,226,5,8,2,6,44,8
Bu³ka zwyk³a,217,5,8,1,1,45,9
Buraki,46,1,8,0,1,9,8 
Cappuccino œmietankowe proszek,385,5,3,9,9,68,7 
Cebula,37,1,4,0,4,6,9 
Cielêcina ³opatka,105,19,9,2,8,0 
Cielêcina miêso bez koœci,108,19,9,3,1,0 
Cielêcina miêso z koœci¹,151,19,7,8,0 
Cielêcina udziec,108,19,9,3,1,0 
Cha³ka,252,5,8,4,4,47 
Cha³wa,531,8,31,55 
Cheeseburger McDonald,278,12,6,11,8,30,3
Chipsy paprykowe,586,6,40,50,4
Cherry Brandy alkohol,265,0,0,32,4 
Chleb chrupki,372,8,7,2,4,78,9
Chleb pszenno-¿ytni,203,4,6,1,1,43,7
Chleb pszenny razowy,198,6,5,1,3,40 
Chleb pszenny zwyk³y,217,5,8,1,1,45,9 
Chleb pumpernikiel,241,4,9,1,7,51,1
Chleb ¿ytni razowy,196,4,7,1,2,41,5 
Chleb ¿ytni zwyk³y,194,3,2,0,9,43,4 
Chrupki kukurydziane,378,8,9,3,78,9
Coca Cola napój,42,0,0,10,4 
Coca Cola light napój,0,24,0,0,0 
Cukier,399,0,0,99,8 
Cukierki owocowe,374,0,3,0,5,92
Cukinia,18,1,0,2,3 
Curacao likier,319,0,0,27,6 
Cykoria,25,1,7,0,2,4,1 
Cytryna,46,0,8,0,5,9,5 
Czarne jagody,61,1,1,0,9,12,2
Czekolada bia³a,544,4,5,30,3,63,2
Czekolada deserowa,537,5,3,28,9,64
Czekolada gorzka,505,8,2,34,9,38,7
Czekolada mleczna,526,8,30,7,54,2
Czekolada nadziewana,449,3,9,17,6,68,8
Czekolada z orzechami,547,7,6,33,9,52,7 
Czekoladka Kinder Niespodzianka,560,9,5,35,3,51,5 
Czekoladki Ferrero Rocher,562,9,40,2,41 
Czekoladki Golden Nut,576,6,39,50,2 
Czekoladki Mon Cheri,421,3,2,19,7,57,8 
Czekoladki Raffaello,600,9,7,46,6,35,4
Czekoladki Toffifee,535,6,31,58
Czereœnie,55,1,0,5,11,6 
Czosnek,144,6,2,0,5,28,8 
Daktyle suszone ,316,2,2,0,6,75,4
Danonki jogurt do picia,87,2,8,1,6,15,4 
Delicje ciastka,376,3,5,8,4,71,5 
Delma margaryna,496,0,55,0,2 
Deser czekoladowy Monte,195,2,8,13,3,15,9 
Dorsz œwie¿y,69,16,5,0,3,0
Dorsz wêdzony,93,22,1,0,5,0
Dra¿etki Tic Tac,390,0,0,97,5 
Dro¿d¿e piekarskie,132,11,3,2,14,5
Dro¿d¿ówka,321,6,9,50 
Dynia,39,1,3,0,3,7,7 
Dynia pestki,582,24,5,45,8,18 
D¿em niskos³odzony,163,0,5,0,63
D¿em wysokos³odzony,257,0,5,0,2,63,4
Eklerka ciastko ,301,5,9,50 
Endywia,17,1,8,0,6,1 
Familijne wafle,533,7,1,29,6,59,5 
Fasola bia³a konserwa,87,4,5,0,2,16,7 
Fasola bia³a ziarno suche ,346,21,4,1,6,61,6 
Fasola czerwona Red Kidney konserwa,104,6,9,0,6,17,8 
Fasola szparagowa,42,2,4,0,2,7,6
Fasola szparagowa konserwa,26,1,5,0,2,4,5 
Fasolka po bretoñsku,158,6,1,8,7,13,7 
Ferrero Rocher czekoladki,562,9,40,2,41 
Figi suszone,300,4,1,2,68,4
Flaki wo³owe suche,84,16,2,2,0 
Flaki wo³owe na rosole,71,4,6,4,2,3,7 
Fl¹dra œwie¿a,84,16,5,1,8,0
Flora margaryna,328,0,1,35,3,2 
Frytki mro¿one,172,2,5,5,5,28
Frytki z frytownicy,252,3,12,33 
Frytki z piekarnika,231,3,5,5,37 
Galaretka pomarañczowa,59,2,8,0,12
Gêœ tuszka,343,14,1,31,8,0
Gin,225,0,0,0 
Golden Nut czekoladki,576,6,39,50,2 
Golonka ze skór¹ wieprzowa,297,18,6,24,7,0 
Go³¹bki w sosie pomidorowym,116,3,8,6,7,10 
Granat,65,2,4,0,4,13,2 
Grejfrut,43,0,6,0,2,9,8 
Groch suche ziarno,349,23,8,1,4,60,4 
Groszek zielony,98,6,7,0,4,17
Groszek zielony konserwa,83,4,5,0,2,15,8 
Gruszka,62,0,6,0,2,14,4 
Gruszka suszona,329,0,7,0,5,80,4
Grzeœki wafel,550,8,5,34,5,51,5 
Halibut œwie¿y,121,18,6,5,2,0
Hamburger,268,11,4,9,5,34,3 
Hamburger Big Mac McDonald,273,11,4,15,1,22,8 
Hamburger McChicken McDonald,295,9,7,15,9,28,3 
Herbata,0,0,1,0,0 
Herbatniki,439,8,2,11,76,8 
Homary,85,18,8,0,9,0,5 
Indyk piersi bez skóry,109,21,3,2,6,0 
Indyk skrzyd³o bez skóry,169,16,5,11,4,0 
Indyk udo bez skóry,118,19,5,4,4,0 
Irysy cukierki,418,4,3,10,7,76,1 
Jab³ko,57,0,6,0,7,12,1 
Jab³ko suszone,332,1,5,1,1,78,9
Jagodzianka ciastko,322,7,1,5,5,61,1 
Jaja sadzone,181,10,1,15,2,0,9
Jajecznica,131,10,9,7,0,8 
Jajo kurze bia³ko,46,10,8,0,0,8 
Jajo kurze ca³e,150,12,5,10,7,1 
Jajo kurze ¿ó³tko,355,16,3,31,9,0,7 
Jagniêcina,126,20,4,4,9,0 
Jagody,61,1,1,0,9,12,2 
Ja³owcówka wódka,225,0,0,0 
Jarmu¿,29,3,3,0,7,6,1 
Je¿yki ciastka,457,5,21,3,61,2 
Je¿yny,71,1,2,0,4,15,7 
Jogurt do picia Danonki,87,2,8,1,6,15,4 
Jogurt naturalny 0% t³uszczu,42,4,2,0,6,2 
Jogurt naturalny 2% t³uszczu,60,4,3,2,6,2 
Jogurt owocowy 1,5% t³uszczu,84,3,9,1,5,13,7 
Jogurt owocowy 2,7% t³uszczu,99,3,3,2,7,15,3 
Kabaczek,31,1,0,1,6,5 
Kabanosy,319,28,23,0 
Kaczka tuszka,311,13,5,28,6,0
Kaczka dzika tuszka,121,22,7,3,1,0,5 
Kakao 16% t³uszczu proszek,425,18,2,15,8,52,6 
Kakao Nesquik proszek,380,3,5,3,84,3 
Kalafior,31,2,4,0,2,5 
Kalarepa,33,1,7,0,1,6,2 
Kapusta bia³a,38,1,7,0,2,7,4
Kapusta czerwona,45,1,9,0,2,9
Kapusta kiszona,20,1,1,0,2,3,4
Kapusta w³oska,50,3,3,0,6,7,8
Karczochy,57,3,3,0,2,10,5 
Karkówka wieprzowa,270,16,1,22,8,0
Karp œwie¿y,122,17,8,5,6,0
Kaszanka,274,9,19,5,14,5 
Kasza gryczana,359,12,3,70
Kasza jaglana,355,10,5,2,9,71,6
Kasza jêczmienna,358,8,2,74
Kasza jêczmienna pêczak,381,7,9,1,7,83,6 
Kasza kuskus,358,13,2,72
Kasza manna,353,8,7,1,3,76,7
Kawa bez cukru,2,0,2,0,0,3 
Kawior,250,24,18,4 
Kefir 2% t³uszczu,44,2,6,2,3,8 
Keks bakaliowy,401,6,4,17,8,53,8
Ketchup,113,1,1,0,3,26,5 
Kinder Niespodzianka czekoladka,560,9,5,35,3,51,5 
KFC kurczak Hot Wings,318,17,4,20,8,15,3 
KFC Twister,266,10,7,15,1,21,9 
